Algorithm,SDC,Hang,Crash,Benign
in_01_recursive,147,0,538,315
in_02_iterative_stack,125,0,545,330
in_03_morris,153,0,560,287
in_09_tagged,116,0,548,336
in_10_leetcode_iter,160,0,516,324
in_11_class_recursive,174,0,529,297
in_12_bst_iterator,151,0,578,271
in_13_flattening_iterator,189,0,501,310
in_14_reverse,191,0,531,278
in_15_sentinel,102,0,587,311
in_16_robust_stack,162,0,523,315
in_17_flatten,205,0,485,310
in_19_dual_stack,91,0,588,321
in_20_cps,45,0,831,124
in_21_schorr_waite,20,0,539,441
in_23_custom_iterator,141,0,579,280
in_24_state_machine,91,0,573,336
in_25_trampoline,17,0,911,72
in_26_bit_packed,118,0,563,319
in_28_random_walk,27,0,494,479
in_29_cartesian,150,0,564,286
in_30_coroutine_struct,105,0,556,339
po_01_standard,288,0,510,202
po_02_iterative_2stack,196,0,577,227
po_04_morris,228,0,612,160
po_05_iterative_complext,222,0,519,259
po_06_c_recursive,306,0,502,192
po_07_iterative_flag,143,0,617,240
po_08_iterative_state,155,0,657,188
po_10_functor,281,0,517,202
po_11_null_marker,222,0,585,193
po_12_recursive_member,229,0,527,244
po_14_vector_stack,242,0,517,241
po_15_list_stack,235,0,538,227
po_17_visitor,291,0,521,188
po_18_function_pointer,294,0,512,194
po_19_deque,189,0,639,172
po_21_destructive_sign,233,0,547,220
po_22_goto_spaghetti,220,0,548,232
po_23_tagged_pointer,188,0,581,231
po_24_task_stack,162,0,623,215
po_25_peek_prune,213,0,527,260
po_26_std_set,91,0,509,400
po_29_map_state,92,0,606,302
po_30_parent_map,120,0,535,345

